example_id                                                                  | status  | run_time        |
./spec/controllers/proposed_organisations_controller_spec.rb[1:1:1:2:2:2:1] | passed  | 0.03072 seconds |
./spec/controllers/proposed_organisations_controller_spec.rb[1:1:1:2:2:2:2] | passed  | 0.03014 seconds |
./spec/controllers/proposed_organisations_controller_spec.rb[1:1:1:2:2:2:3] | passed  | 0.03114 seconds |
./spec/controllers/proposed_organisations_controller_spec.rb[1:2:1:1:1:1]   | passed  | 0.02743 seconds |
./spec/controllers/proposed_organisations_controller_spec.rb[1:2:1:1:1:2]   | passed  | 0.02755 seconds |
./spec/controllers/proposed_organisations_controller_spec.rb[1:2:1:1:1:3]   | passed  | 0.03066 seconds |
./spec/controllers/proposed_organisations_controller_spec.rb[1:2:1:2:1:1:1] | passed  | 0.02803 seconds |
./spec/controllers/proposed_organisations_controller_spec.rb[1:2:1:2:1:1:2] | passed  | 0.02802 seconds |
./spec/controllers/proposed_organisations_controller_spec.rb[1:2:1:2:1:1:3] | passed  | 0.02817 seconds |
./spec/controllers/proposed_organisations_controller_spec.rb[1:2:1:2:2:1:1] | passed  | 0.02755 seconds |
./spec/controllers/proposed_organisations_controller_spec.rb[1:2:1:2:2:1:2] | passed  | 0.02773 seconds |
./spec/controllers/proposed_organisations_controller_spec.rb[1:2:1:2:2:1:3] | passed  | 0.02769 seconds |
./spec/controllers/registrations_controller_spec.rb[1:1:1]                  | passed  | 0.05283 seconds |
./spec/controllers/registrations_controller_spec.rb[1:1:2]                  | passed  | 0.02385 seconds |
./spec/controllers/registrations_controller_spec.rb[1:1:3]                  | passed  | 0.02369 seconds |
./spec/controllers/registrations_controller_spec.rb[1:1:4]                  | passed  | 0.02594 seconds |
./spec/controllers/registrations_controller_spec.rb[1:2:1]                  | passed  | 0.02334 seconds |
./spec/controllers/registrations_controller_spec.rb[1:2:2]                  | passed  | 0.01927 seconds |
./spec/controllers/registrations_controller_spec.rb[1:2:3]                  | passed  | 0.02 seconds    |
./spec/controllers/registrations_controller_spec.rb[1:2:4]                  | passed  | 0.01892 seconds |
./spec/controllers/sessions_controller_spec.rb[1:1:1]                       | passed  | 0.02084 seconds |
./spec/controllers/sessions_controller_spec.rb[1:1:2]                       | passed  | 0.0206 seconds  |
./spec/controllers/sessions_controller_spec.rb[1:1:3]                       | passed  | 0.01717 seconds |
./spec/controllers/sessions_controller_spec.rb[1:1:4]                       | passed  | 0.02861 seconds |
./spec/controllers/user_reports_controller_spec.rb[1:1:1:1]                 | passed  | 0.00776 seconds |
./spec/controllers/user_reports_controller_spec.rb[1:1:1:2]                 | passed  | 0.00843 seconds |
./spec/controllers/user_reports_controller_spec.rb[1:1:1:3]                 | passed  | 0.00914 seconds |
./spec/controllers/user_reports_controller_spec.rb[1:2:1]                   | passed  | 0.01975 seconds |
./spec/controllers/user_reports_controller_spec.rb[1:2:2]                   | passed  | 0.01688 seconds |
./spec/controllers/user_reports_controller_spec.rb[1:3:1:1:1]               | passed  | 0.00962 seconds |
./spec/controllers/user_reports_controller_spec.rb[1:3:1:1:2]               | passed  | 0.0102 seconds  |
./spec/controllers/user_reports_controller_spec.rb[1:3:1:1:3]               | passed  | 0.00991 seconds |
./spec/controllers/user_reports_controller_spec.rb[1:3:1:2:1]               | passed  | 0.00756 seconds |
./spec/controllers/user_reports_controller_spec.rb[1:3:1:2:2]               | passed  | 0.00745 seconds |
./spec/controllers/user_reports_controller_spec.rb[1:3:2:1]                 | passed  | 0.00836 seconds |
./spec/controllers/user_reports_controller_spec.rb[1:3:2:2]                 | passed  | 0.00674 seconds |
./spec/controllers/user_reports_controller_spec.rb[1:4:1]                   | passed  | 0.0084 seconds  |
./spec/controllers/user_reports_controller_spec.rb[1:4:2]                   | passed  | 0.01612 seconds |
./spec/controllers/user_reports_controller_spec.rb[1:4:3]                   | passed  | 0.00896 seconds |
./spec/controllers/user_reports_controller_spec.rb[1:4:4]                   | passed  | 0.01182 seconds |
./spec/controllers/users_controller_spec.rb[1:1:1]                          | passed  | 0.00243 seconds |
./spec/controllers/volunteer_ops_controller_spec.rb[1:1:1]                  | passed  | 0.04428 seconds |
./spec/controllers/volunteer_ops_controller_spec.rb[1:2:1]                  | passed  | 0.02726 seconds |
./spec/controllers/volunteer_ops_controller_spec.rb[1:3:1]                  | passed  | 0.0242 seconds  |
./spec/controllers/volunteer_ops_controller_spec.rb[1:4:1]                  | passed  | 0.03567 seconds |
./spec/controllers/volunteer_ops_controller_spec.rb[1:5:1:1]                | passed  | 0.03496 seconds |
./spec/controllers/volunteer_ops_controller_spec.rb[1:5:1:2]                | passed  | 0.0676 seconds  |
./spec/controllers/volunteer_ops_controller_spec.rb[1:6:1]                  | passed  | 0.03154 seconds |
./spec/controllers/volunteer_ops_controller_spec.rb[1:6:2]                  | passed  | 0.02992 seconds |
./spec/controllers/volunteer_ops_controller_spec.rb[1:7:1]                  | passed  | 0.02748 seconds |
./spec/db_cleaner_spec.rb[1:1]                                              | passed  | 0.01538 seconds |
./spec/db_cleaner_spec.rb[1:2:1]                                            | passed  | 0.01403 seconds |
./spec/helpers/application_helper_spec.rb[1:2:1]                            | passed  | 0.00272 seconds |
./spec/helpers/application_helper_spec.rb[1:2:2]                            | passed  | 0.00155 seconds |
./spec/helpers/application_helper_spec.rb[1:3:1]                            | passed  | 0.00169 seconds |
./spec/helpers/application_helper_spec.rb[1:4:1]                            | passed  | 0.00212 seconds |
./spec/helpers/application_helper_spec.rb[1:4:2]                            | passed  | 0.00348 seconds |
./spec/helpers/application_helper_spec.rb[1:5:1]                            | passed  | 0.00274 seconds |
./spec/helpers/application_helper_spec.rb[1:5:2]                            | passed  | 0.0023 seconds  |
./spec/helpers/application_helper_spec.rb[1:5:3]                            | passed  | 0.00238 seconds |
./spec/helpers/devise_helper_spec.rb[1:1]                                   | pending | 0.00001 seconds |
